name,symbol,category,chains,tvl,change_1d,change_7d,change_30d
MixSwap Finance,MXS,Farm,Binance,23.180544749437207,0.3190643213130073,-0.5637373202723381,0.0
Kal Mydas,KAL,Onchain Capital Allocator,Base,22.954104234911835,0.004001167877760281,-0.012331269206882212,0.0
CoreSwap,cSWAP,Dexs,CORE,22.913777144303896,-2.4787388767322227e-05,-9.894373039426853,0.0
Spartacus Exchange,-,Dexs,Fantom,22.876526289882715,-8.320241970619563,-25.342451840374153,0.0
BTCFi Farm,-,Farm,Bifrost Network,22.842321690001818,-0.07182369773576625,-5.277872629413608,0.0
XDeFi,XDEX,Dexs,Ethereum,22.74328086958489,0.3764223786245253,-2.765430278475108,0.0
Torus,TORUS,Dexs,Base,22.39137254864847,0.48320306683726244,-5.821444929400826,0.0
Dogewhale,DOGEWHALE,Reserve Currency,Binance,22.11804909065947,1.1203475092963657,-10.684533686469763,0.0
Random Reward,-,Prediction Market,Ethereum,21.575761178166708,0.7531135776455784,-7.524788767923411,0.0
Jujube Finance,-,Dexs,Aptos,21.41596555676668,1.48827075666496,-3.726983518272803,0.0
KatanaSwap,KTN,Dexs,ZetaChain,21.347383098829408,-1.5111283452649928,-1.6512933466382123,0.0
BEVM,-,Chain,Bitcoin,21.16554532364111,0.12473931063752275,-5.164478399922402,0.0
Liquify,Liquify,Dexs,CORE,21.138515841485262,,,0.0
Genius,GENI,Yield,"Ethereum, Binance, Avalanche, Polygon, Pulse",21.13463714765998,0.22632659047472714,-2.3485598542367825,0.0
EggTartSwap,EGGT,Dexs,Harmony,20.94728660185828,3.399564778559764,-10.46671875085066,0.0
Wild Base,WILDx,Farm,Base,20.941893703738696,0.6214110510571231,-7.899669755370226,0.0
Beratlas Finance,BATLAS,Reserve Currency,Berachain,20.927025922526827,2.8776567514853753,-11.550150398030084,0.0
ELMA,ELITE,Lending,Fantom,20.905827632159586,-2.189690338450305,-8.963907808923437,0.0
DogePup,DOGEPUP,Farm,Dogechain,20.414783920547606,-0.03425484856667538,-14.6603166740949,0.0
GFEX,-,Prediction Market,Base,20.339264783978503,0.008361018590520075,-0.0036997331910271214,0.0
Lavafall,Lavafall,Yield,Fantom,20.122721946999757,-8.082828191345158,-24.241061134732817,0.0
Jadeswap,-,Dexs,Mantle,20.055855754671583,-0.5935505862026673,-8.734357157175538,0.0
